Time;Temperature;Humidity
14:50:49;24,3;42
14:50:49;23,6;40,9
14:50:50;24,9;41,6
14:50:50;21;41,6
14:50:51;24,2;37
14:50:51;21,9;43
14:50:52;22,4;38,1
14:50:52;21,9;41
14:50:53;21,6;39,1
14:50:53;21;42
14:50:54;20,7;39,9
14:50:54;21,4;42
14:50:55;23,7;36,7
14:50:55;21,6;40,6
14:50:56;21;44,7
14:50:56;22,6;42,7
14:50:57;22,7;35,8
14:50:57;23,9;43,7
14:50:58;23,9;40
14:50:58;20,4;44,3
14:50:59;25;41,5
14:50:59;20,7;41
14:51:00;20,4;38,3
14:51:00;20,8;35,5
14:51:01;22,7;39,4
14:51:01;21,6;38,3
14:51:02;21,3;36,2
14:51:02;21,6;35,4
14:51:03;22;41,1
14:51:03;20,1;44,4
14:51:04;24,4;42,2
14:51:04;23,2;43,2
14:51:05;22,6;43,2
14:51:05;21,3;44,8
14:51:06;24,4;40,4
14:51:06;21,3;37,5
14:51:07;24;37,3
14:51:07;24,1;39,1
14:51:08;24,1;42,2
14:51:08;20,8;43,4
14:51:09;23,2;35,7
14:51:09;20,9;44,1
14:51:10;21;36,8
14:51:10;24,2;40
14:51:11;20;39
14:51:11;23,1;37,8
14:51:12;23,6;39,1
14:51:12;21,7;36,9
14:51:13;22,6;43,4
14:51:13;20;37,1
14:51:14;22;38,6
14:51:14;22,3;42,8
14:51:15;22,9;44,4
14:51:15;20,3;43,9
14:51:16;20,9;41
14:51:16;23,9;42,3
14:51:17;21,4;39,2
14:51:17;23,7;43,8
14:51:18;24,2;40,1
14:51:18;22,2;35,5
14:51:19;22;40,2
14:51:19;23,2;37
14:51:20;21,7;36,7
14:51:20;20,4;39,3
14:51:21;20,8;45
14:51:21;23,4;40,5
14:51:22;24,8;43,7
14:51:22;23,5;39,2
14:51:23;20,3;38,1
14:51:23;23,7;39,1
14:51:24;23,2;36
14:51:24;22,2;40,5
14:51:25;23,9;35,7
14:51:25;22,4;37,1
14:51:26;20,3;35
14:51:26;23,3;35,1
14:51:27;22,9;40,1
14:51:27;22,2;44,3
14:51:28;24,2;36,8
14:51:28;22,5;39
14:51:29;22,1;43,4
14:51:29;20,7;44,2
14:51:30;23,3;35,6
14:51:30;20,9;38,8
14:51:31;22,4;44,7
14:51:31;23,7;44,9
14:51:32;21,3;44,3
14:51:32;20,4;41,9
14:51:33;22,2;39,7
14:51:33;24;41,9
14:51:34;21,4;35,1
14:51:34;22,2;35,2
14:51:35;21,5;43,8
14:51:35;20,9;42,7
14:51:36;20,7;44,2
14:51:36;22,3;42,3
14:51:37;21,3;39,8
14:51:37;23,2;41,1
14:51:38;24,3;35,1
14:51:38;20,9;43,6
14:51:39;22,1;39,7
14:51:39;20;43,4
14:51:40;24,8;41,3
14:51:40;23,3;41
14:51:41;23,8;44
14:51:41;21,4;38
14:51:42;21,6;36,4
14:51:42;20,3;37,2
14:51:43;23,1;43,2
14:51:43;21,6;37,8
14:51:44;22,7;36,2
14:51:44;24,1;36
14:51:45;20,5;42,3
14:51:45;24,3;39,7
14:51:46;20,8;41,9
14:51:46;22,6;40,9
14:51:47;22,3;38,8
14:51:47;21,7;40,3
14:51:48;23,9;43,1
14:51:48;22,2;42,4
14:51:49;21,6;39,7
14:51:49;23,9;37
14:51:50;21,1;35,9
14:51:50;20,8;35,8
14:51:51;21;36,5
14:51:51;21,9;39,3
14:51:52;20,7;42,8
14:51:52;21,1;36,1
14:51:53;24,5;44,2
14:51:53;23,7;35,4
14:51:54;21;44,5
14:51:54;23,4;35,7
14:51:55;22,1;37,6
14:51:55;20,3;39,2
14:51:56;23;41,2
14:51:56;22,5;41,5
14:51:57;24,7;39
14:51:57;23,5;38,2
14:51:58;21,7;44,9
14:51:58;21,8;44,2
14:51:59;20,6;41,3
14:51:59;24;42,8
14:52:00;23,4;36,5
14:52:00;23,4;41,8
14:52:01;20,2;38,7
14:52:01;20,7;44,9
14:52:02;20,3;43,2
14:52:02;22,8;35,9
14:52:03;21,7;37,2
14:52:03;23,7;38,9
14:52:04;23,4;36,1
14:52:04;20,8;35,2
14:52:05;21,5;35,5
14:52:05;23,6;36,2
14:52:06;20,1;37,3
14:52:06;22,1;42,5
14:52:07;21,8;40,5
14:52:07;22,8;37,1
14:52:08;21,2;35,2
14:52:08;20,8;40,3
14:52:09;24;43,6
14:52:09;22,5;42,3
14:52:10;22,7;36,2
14:52:10;22,3;40,4
14:52:11;24,4;43,6
14:52:11;20,8;41,9
14:52:12;22,7;42,6
14:52:12;21,1;36,4
14:52:13;21;42
14:52:13;23,1;36,1
14:52:14;20,5;37,7
14:52:14;20,6;37,7
14:52:15;23,4;44,6
14:52:15;21;43,4
14:52:16;23,1;38,4
14:52:16;21,4;35,4
14:52:17;23,3;44,2
14:52:17;22,6;42,9
14:52:18;20,9;41,9
14:52:18;20,2;37,5
14:52:19;24,3;44,1
14:52:19;22,6;42,2
14:52:20;23,4;43,4
14:52:20;20,7;35,1
14:52:21;20,1;39,6
14:52:21;22,7;36,7
14:52:22;23,1;44,4
14:52:22;21,9;35,2
14:52:23;23;43,2
14:52:23;22,5;39,6
14:54:38;22,1;44,1
14:54:38;22,8;43,1
14:54:39;23,8;43,5
14:54:39;22,7;38,1
14:54:40;24,6;35,1
14:54:40;24,5;39,2
14:54:41;22,8;39,1
14:54:41;20,3;39,7
14:54:42;22,9;36,2
14:54:42;22,4;40,2
14:54:43;23,1;38,5
14:54:43;23,3;35
14:55:08;24,1;41,9
14:55:08;23,7;39
14:55:09;24,7;38,8
14:55:09;23,1;35,5
14:55:10;20,1;41,6
14:55:10;20,7;36,2
14:55:10;22,9;36,3
14:55:10;24,3;42,1
